Type;Rent;Move in price;Address;Link
1 værelses lejlighed på 33 m²;8.600;43.400;Amerikavej, 1756 København, København V - 2. sal;https://www.boligportal.dk/lejligheder/k%C3%B8benhavn/33m2-1-vaer-id-5191968
1 værelses lejlighed på 33 m²;8.600;43.400;Amerikavej, 1756 København, København V - 3. sal;https://www.boligportal.dk/lejligheder/k%C3%B8benhavn/33m2-1-vaer-id-5193667
1 værelses lejlighed på 31 m²;8.600;43.400;Amerikavej, 1756 København, København V - 2. sal;https://www.boligportal.dk/lejligheder/k%C3%B8benhavn/31m2-1-vaer-id-5191999
1 værelses lejlighed på 34 m²;8.600;43.400;Amerikavej, 1756 København, København V - 3. sal;https://www.boligportal.dk/lejligheder/k%C3%B8benhavn/34m2-1-vaer-id-5193666
1 værelses lejlighed på 31 m²;8.600;43.400;Amerikavej, 1756 København, København V - 2. sal;https://www.boligportal.dk/lejligheder/k%C3%B8benhavn/31m2-1-vaer-id-5191998
1 værelses lejlighed på 31 m²;8.600;43.400;Amerikavej, 1756 København, København V - 2. sal;https://www.boligportal.dk/lejligheder/k%C3%B8benhavn/31m2-1-vaer-id-5191961
1 værelses lejlighed på 31 m²;8.600;43.400;Amerikavej, 1756 København, København V - 2. sal;https://www.boligportal.dk/lejligheder/k%C3%B8benhavn/31m2-1-vaer-id-5191965
1 værelses lejlighed på 31 m²;8.600;43.400;Amerikavej, 1756 København, København V - 2. sal;https://www.boligportal.dk/lejligheder/k%C3%B8benhavn/31m2-1-vaer-id-5191970
1 værelses lejlighed på 34 m²;8.600;43.400;Amerikavej, 1756 København, København V - 3. sal;https://www.boligportal.dk/lejligheder/k%C3%B8benhavn/34m2-1-vaer-id-5192017
1 værelses lejlighed på 31 m²;8.600;43.400;Amerikavej, 1756 København, København V - 2. sal;https://www.boligportal.dk/lejligheder/k%C3%B8benhavn/31m2-1-vaer-id-5191967
2 værelses lejlighed på 52 m²;8.500;43.600;Skoleholdervej, 2400 København, København NV - Stuen;https://www.boligportal.dk/lejligheder/k%C3%B8benhavn/52m2-2-vaer-id-5196781
1 værelses lejlighed på 33 m²;8.700;43.900;Amerikavej, 1756 København, København V - 3. sal;https://www.boligportal.dk/lejligheder/k%C3%B8benhavn/33m2-1-vaer-id-5192269
1 værelses lejlighed på 31 m²;8.700;43.900;Amerikavej, 1756 København, København V - 3. sal;https://www.boligportal.dk/lejligheder/k%C3%B8benhavn/31m2-1-vaer-id-5192015
1 værelses lejlighed på 31 m²;8.700;43.900;Amerikavej, 1756 København, København V - 3. sal;https://www.boligportal.dk/lejligheder/k%C3%B8benhavn/31m2-1-vaer-id-5192012
1 værelses lejlighed på 31 m²;8.700;43.900;Amerikavej, 1756 København, København V - 3. sal;https://www.boligportal.dk/lejligheder/k%C3%B8benhavn/31m2-1-vaer-id-5192013
1 værelses lejlighed på 31 m²;8.700;43.900;Amerikavej, 1756 København, København V - 3. sal;https://www.boligportal.dk/lejligheder/k%C3%B8benhavn/31m2-1-vaer-id-5192018
1 værelses lejlighed på 31 m²;8.700;43.900;Amerikavej, 1756 København, København V - 3. sal;https://www.boligportal.dk/lejligheder/k%C3%B8benhavn/31m2-1-vaer-id-5192016
